entry_id	surname	marker	verdict	n_fragments	fragments	xlsx_matches	scores
PerXI07656	Schousboe	a	MANUAL	2	Skibsfører, bor i Storehedinge, død i Frederikssted paa St. Croix. IX 320. || Schoustrup (»den lille Skoustrup«), 10.8. 1869.	(row's own continuing description) || Schoustrup, Jens (1826–1898)	1.00 || 0.45
PerXI07703	Schulz	a	MANUAL	2	Tigger 19.3.1875. X 420. || Schulz (Schulze?), Frue, Meudon 13.9. 1867.	(row's own continuing description) || Scholtz, E. W. von (død ca. 1866)	1.00 || 0.45
PerXI07801	Septimius Severus	a	SAFE	2	romersk Kejser 193-211. III 156. || Seraphin (død 1800), oprettede et Marionetteater i Versailles, 1781 Direktør for Spectacle des Enfants de France, Palais Royal, Paris.	(row's own continuing description) || Seraphin (død 1800)	1.00 || 1.00
PerXI07929	Soldi	a	SAFE	2	Søn af David S., fransk Billedhugger og Medaljør, Kunstskribent. VIII 68. || Soldin (senere: Soldi), David (1818-84), Student 1837, opholdt sig i Tyskland og senere fast i Frankrig, Oversætter til Fransk af HCA.s Eventyr, Tolk ved den kejserlige Appellationsret (senere ved Kassationsretten) i Paris.	(row's own continuing description) || Soldin (senere: Soldi), David (1818–1884)	1.00 || 1.00
PerXI07986	Sperling	a	MANUAL	2	kar. Oberst. VIII 313 317 319-20 323. || Spetz (maaske: Spatz), Napoli 5.3.1841.	(row's own continuing description) || Dorset, Thomas Sackville, Jarl af – (1536–1608)	1.00 || 0.41
PerXI08138	Stoffel	a	MANUAL	2	fransk Officer og Militærskribent. II 354 358-59. || Stolberg (»en stiv, fornem Grev Stolberg«) (Oldenburg 10.6.1847).	(row's own continuing description) || Stolberg	1.00 || 0.62
PerXI08324	Sønderskou	a	MANUAL	2	Skuespillerinde, g.1847 m. Skuespiller Christian Schmidt. II 300. — Se ogsaa: Smidt, Thora. Sønderup, Anna (1841-70), Forfatterinde, g.1868 m. den ungarske Arkitekt Ferenc Schulz. VII 12 277 346. VIII 2. || Søren (Søren Ebbesen?), Slagelse 24.3. 1826.	(row's own continuing description) || Søren (Søren Ebbesen?)	1.00 || 0.68
PerXI08421	Thestrup	a	MANUAL	2	Sognepræst i Jungshoved 1843, senere i Stavreby. IV 26. || Thiele (»Onkel Thiele«, en af J.M.Thieles tre Brødre: Kontorchef i Finansministeriet, Justitsraad, senere Etatsraad Frederik Vilhelm T. (1791-1877), Instrumentmager Frederik Anton T. (1793-1859), Instrumentmager Johan Christopher T. (1798-1854)).	(row's own continuing description) || Philemon, Thimoleon (1833–1898)	1.00 || 0.59
PerXI08487	Tybjerg	a	MANUAL	3	Datter af Caroline Oltmann (død 1874), g.1868 m. Chr. T. VIII 146. IX 27. X 339. || Thyberg (fra 1866: Tybjerg), Christian (1815-79), Søn af Oline T., Arkitekt. II 306. III 72 74-75 321 324 335-37 340-41 365. IV 208 211 217-19 221- 27 229-31 235. V 184 197 380 383 395 424 436. VI 49. VIII 81 122 141 146 165 177 248 345. IX 25 27. || Tyberg (fra 1866: Tybjerg), Erland (1863-1925), Søn af Chr. T., senere Højesteretsdommer.	(row's own continuing description) || Thyberg (fra 1866: Tybjerg), Christian (1815–1879) || Tyberg (fra 1866: Tybjerg), Erland (1863–1925)	1.00 || 1.00 || 1.00
PerXI08489	Thyberg	a	SAFE	2	Datter af Oline T. II 308. || Thyberg (fra 1866: Tybjerg), Oluf (1859-1941), Søn af Chr.T., senere Ingeniør.	(row's own continuing description) || Thyberg (fra 1866: Tybjerg), Oluf (1859–1941)	1.00 || 1.00
PerXI08613	Tristan l'Hermite	a	MANUAL	2	Louis (omkr.1450), fransk Adelsmand, Profos hos Kongerne Charles VII og Louis XI. V 346. || Trochi (Strochi?), Søn af Direktøren for Wiener-Operette-Selskabet,Tivoli 1874.	(row's own continuing description) || Sverrig-Norge, Sofia (Sophie), Dronning af –, f. Prinsesse af Nassau (1836–1913)	1.00 || 0.37
PerXI08664	Toepffer	a	MANUAL	2	schweizisk Forfatter. IV 429. || Toppel (Topler?), F. A. Serres Svoger, Maxen Juli 1856.	(row's own continuing description) || Coppel, Julie, f. Sonnemann (1819–1891)	1.00 || 0.44
PerXI08685	Ulfeldt	a	MANUAL	2	Datter af Corfitz U., g.1678 m. Lave Beck til Gladsaxe og Andrarum. II 36. || Ulla Maria (Pseud.), Forfatterinde.	(row's own continuing description) || Müller, Marie Louise, f. Biering (1844–1908)	1.00 || 0.55
PerXI08698	Ungarn	a	SAFE	2	Søn af Hertug Geisa af U., Konge 1001. II 236 242. || Unger (Ungher), Caroline (1803-77), ungarsk Operasangerinde, g.1840 Savatier.	(row's own continuing description) || Unger (Ungher), Caroline (1803–1877)	1.00 || 1.00
PerXI09032	Wendell	b	MANUAL	2	fil.dr., senere Sognepræst i Björnlunda, Strängnäs Stift. VI 305 306. Wendt — || Westergaard, Chr. Jørgensen Westergaard, N. L. (1815-78), Professor i indisk-orientalsk Filologi, Etatsraad Westergaard, N. L. — Wichfeld Westrup, J. S. (1833-1901), Premierløjtnant i Artilleriet, Afsked med Kaptajns Karakter 1875, militærpolitisk Forfatter.	(row's own continuing description) || Westergaard, Chr. Jørgensen (1824–1894)	1.00 || 0.75
PerXI09231	Uxkull (Uexkull)	a	MANUAL	2	russisk Ritmester. IV 66. VIII 319. || Uxkull (Uexkull), Clara, Friherreinde, f. Walter (1823-1909), g.1843 m. Boris v.U. IV 66. VIII 319. Z. Z (uidentificeret), Slagelse 1825-26.	(row's own continuing description) || Ûxküll (Uexküll), Clara, Friherreinde, f. Walter (1823–1909)	1.00 || 1.00
PerXI09253	Zeltner	a	MANUAL	2	Slotsforvalter ved Christiansborg, Arkitekt, Kammerraad. V 446-47. || Zemlen (Zelmen), Napoli 1846, J.A. Josephsons Rejsefælle.	(row's own continuing description) || Rømeling, Caroline, f. Sehested (1809–1875)	1.00 || 0.44
